Cluster, Domain, Lof, DomianType
Cluster 0, 3322.org, 0.8060001772974552, -1
Cluster 0, navercorp.com, 0.8065301142481378, -1
Cluster 0, kuizhen.net, 0.8066473481623723, 1
Cluster 0, cellocation.com, 0.8067269121360912, 1
Cluster 0, 55555.io, 0.806805843747127, 0
Cluster 0, dongjian.cc, 0.8068390805294626, -1
Cluster 0, amazonaws.com.cn, 0.8072557224585692, 0
Cluster 0, gps19.com, 0.8074908002531955, 1
Cluster 0, evcar.com, 0.8076437442376087, 1
Cluster 0, szime.com, 0.8078328739406055, 1
Cluster 0, esim.net.cn, 0.8081325819663906, -1
Cluster 0, wpart.cn, 0.808409185971662, -1
Cluster 0, 360.cn, 0.8084365487856962, 0
Cluster 0, 3.cn, 0.8084732278132973, -1
Cluster 0, jygps.com.cn, 0.8084993063790453, -1
Cluster 0, mi-idc.com, 0.8085137774631305, -1
Cluster 0, gpsui.net, 0.8087339195792691, 1
Cluster 0, airm2m.com, 0.8091807485290856, 1
Cluster 0, sofoiot.com, 0.8092423641210253, 1
Cluster 0, gps0123.com, 0.809290251096767, -1
Cluster 0, fotapro.com, 0.8093037885712672, -1
Cluster 0, gitv.tv, 0.8098220503890637, -1
Cluster 0, safecenter.com, 0.8098943227991592, -1
Cluster 0, 4001882367.com, 0.8100434316499978, -1
Cluster 0, gps112.com, 0.8100847491028663, 1
Cluster 0, cnview.com.cn, 0.8104079410864122, 1
Cluster 0, adkmob.com, 0.8105426054645666, -1
Cluster 0, bdisy.com, 0.8105755371709652, -1
Cluster 0, lvkedu.com, 0.8110832124945, 1
Cluster 0, axxc.cn, 0.8113164782928038, -1
Cluster 0, 44gps.cn, 0.8113174230410115, 1
Cluster 0, z-qihang.com, 0.8113374918244214, 1
Cluster 0, huixun.me, 0.811344436238916, -1
Cluster 0, newrelic.com, 0.8114840306769473, -1
Cluster 0, voicecloud.cn, 0.8115204602909426, 0
Cluster 0, shzykj.com, 0.8118682026677725, 1
Cluster 0, fpdiov.com, 0.8120993902843076, -1
Cluster 0, shuqireader.com, 0.8123294434602186, -1
Cluster 0, servicewechat.com, 0.8129046642342826, -1
Cluster 0, digilink086.com, 0.8130943542334436, 1
Cluster 0, fxltsbl.com, 0.8131702348718577, -1
Cluster 0, bfeedback.com, 0.8135579950386033, -1
Cluster 0, 51shaoxi.com, 0.8142937539415606, 1
Cluster 0, entrust.net, 0.8143381251400388, -1
Cluster 0, appsflyer.com, 0.8145289809123522, -1
Cluster 0, analysys.cn, 0.8148743754215383, -1
Cluster 0, lbs-simcom.com, 0.8149151004350712, -1
Cluster 0, bytedns.net, 0.8150482236344546, 0
Cluster 0, calliance.com.cn, 0.8153086243893505, 1
Cluster 0, chongdian.club, 0.8153086243893505, 1
Cluster 0, yanguankeji168.com, 0.8153086243893505, -1
Cluster 0, tencent-cloud.net, 0.8154273034575675, 0
Cluster 0, capcare.com.cn, 0.8155220212960927, 1
Cluster 0, oznerwater.com, 0.8156443646637748, -1
Cluster 0, qmlog.cn, 0.8156547062981483, -1
Cluster 0, gps021.cn, 0.8157052185512885, -1
Cluster 0, solarmandata.com, 0.815751580001953, -1
Cluster 0, jiguang.cn, 0.8157869416749908, -1
Cluster 0, qm.cn, 0.816037162426879, 1
Cluster 0, umlxny.com, 0.8164292047499643, 1
Cluster 0, dafabc.net, 0.81653369878088, -1
Cluster 0, ksosoft.com, 0.8166781726929994, -1
Cluster 0, xmsyhy.com, 0.8170006226073744, -1
Cluster 0, tcnvmms.com, 0.8170369061351188, 1
Cluster 0, alcoholanalytics.com, 0.8170440218428088, -1
Cluster 0, avlyun.com, 0.8170767090175584, -1
Cluster 0, ronghub.com, 0.8175020739711124, -1
Cluster 0, sssyin.cn, 0.8175126284867359, 1
Cluster 0, nuomi.com, 0.8178747889271591, -1
Cluster 0, lektecdc.com, 0.8180531861923068, 1
Cluster 0, alipay.com, 0.8181401307056623, 1
Cluster 0, sbycjk.cn, 0.8182982123633122, -1
Cluster 0, 10jqka.com.cn, 0.8183071339204773, -1
Cluster 0, liebao.cn, 0.8186018404921904, -1
Cluster 0, njchengshan.cn, 0.8187104443271277, 1
Cluster 0, umeng.com, 0.8189550248006835, 0
Cluster 0, id1.cn, 0.8190094206084023, -1
Cluster 0, fleet-online.cn, 0.8190798314662466, 1
Cluster 0, fxxz.com, 0.8190926610879361, -1
Cluster 0, gzncloud.com, 0.8192995834276022, 1
Cluster 0, wiway.com.cn, 0.8195011888655003, -1
Cluster 0, smartpeak.cn, 0.819673885395052, 1
Cluster 0, gps98.cn, 0.8196815343764431, 1
Cluster 0, yadea.com.cn, 0.8197160942839761, 1
Cluster 0, weimob.com, 0.8197982326712326, -1
Cluster 0, bangoplus.com, 0.8199174014720351, 1
Cluster 0, gpsonline.cn, 0.8201207520575483, 1
Cluster 0, gpsjm.com, 0.8201627753054705, 1
Cluster 0, suning.cn, 0.8204425829051619, -1
Cluster 0, bcgogo.com, 0.8205725551546668, 1
Cluster 0, carsecretary.com, 0.8208824819061677, 1
Cluster 0, huayusoft.com, 0.8209753922611309, 1
Cluster 0, kirinclouds.com, 0.8212505799162099, -1
Cluster 0, lemobar.com, 0.8212843851714254, 1
Cluster 0, veioo.cn, 0.8213497743155422, -1
Cluster 0, shztzn.com, 0.8214742035616827, -1
Cluster 0, jslocation.com, 0.8217567342487934, 1
Cluster 0, immomogame.com, 0.8217692376699789, -1
Cluster 0, connman.net, 0.8217692376699791, -1
Cluster 0, 51kuaibi.com, 0.821789039643728, 1
Cluster 0, iotchs.xyz, 0.8219451545530138, -1
Cluster 0, duba.net, 0.8220993206118015, -1
Cluster 0, lakala.com, 0.8223931586222278, 1
Cluster 0, sharesdk.cn, 0.8226328370750778, -1
Cluster 0, lingxicloud.com, 0.8226503557158236, -1
Cluster 0, kartor.cn, 0.8227958358845354, 1
Cluster 0, ttbike.com.cn, 0.823185056504921, 1
Cluster 0, yusong.com.cn, 0.8232790443646794, 1
Cluster 0, ananb.com.cn, 0.8233541244110499, -1
Cluster 0, cootekservice.com, 0.8234429172484605, 0
Cluster 0, shianxin.net, 0.8236671225192007, 1
Cluster 0, linewin.cc, 0.8240038584007955, 1
Cluster 0, xdrig.com, 0.8242568179732718, -1
Cluster 0, cardinfo.com.cn, 0.8244716921673969, 1
Cluster 0, outlook.com, 0.8246807466130038, -1
Cluster 0, iclick.com.cn, 0.8248156776402389, -1
Cluster 0, idatatank.com, 0.8248785159587685, 1
Cluster 0, sina.com, 0.8248849613632491, 0
Cluster 0, stointl.com, 0.8249569164030479, 1
Cluster 0, mo-huan.com, 0.8249629184774975, 1
Cluster 0, leyaoyao.com, 0.8252234038508183, -1
Cluster 0, longxiang.biz, 0.8252360171656031, 1
Cluster 0, aika168.com, 0.8253007371443797, 1
Cluster 0, ce-safe.com, 0.8256224880987693, -1
Cluster 0, adsunflower.com, 0.8256262525734289, 0
Cluster 0, jdpay.com, 0.8258849545813014, -1
Cluster 0, e-eye.cn, 0.8259467947509457, 1
Cluster 0, wlwltech.com, 0.8262403639104468, -1
Cluster 0, dola520.com, 0.8263396883229757, -1
Cluster 0, gpscar.cn, 0.8264159388674497, 1
Cluster 0, jiweisen.com, 0.8267282887909548, 1
Cluster 0, wondware.com, 0.8270199077004667, -1
Cluster 0, aslk.me, 0.8271153815548162, -1
Cluster 0, 350gps.cn, 0.8272243623815203, 1
Cluster 0, kaifakuai.com, 0.8272259548657244, 1
Cluster 0, so.com, 0.8273985068037535, -1
Cluster 0, cmpassport.com, 0.827531680876023, 1
Cluster 0, fb.com, 0.8278097438366544, -1
Cluster 0, rdbtech.cn, 0.8278993431123511, -1
Cluster 0, gps1818.cn, 0.8279290708411728, 1
Cluster 0, gps1168.com, 0.8280736008857212, 1
Cluster 0, wsds.cn, 0.8283092560217756, -1
Cluster 0, cloud-jinhua.com, 0.8283166427511306, 1
Cluster 0, admaster.com.cn, 0.8283439042636458, -1
Cluster 0, kytence.com, 0.8284318791080842, 1
Cluster 0, szchuzhong.com, 0.8286182296978817, 1
Cluster 0, bldrdoc.gov, 0.8286463371012772, -1
Cluster 0, cdguanjia.com, 0.8289063331037033, -1
Cluster 0, kugou.net, 0.8290804042103002, -1
Cluster 0, gvt2.com, 0.8293054673023207, -1
Cluster 0, flyme.cn, 0.8294188873358703, -1
Cluster 0, googleapis.cn, 0.8295910451576146, 0
Cluster 0, fullway.com.cn, 0.8296951565381739, 1
Cluster 0, zblbs.cn, 0.829912539768731, -1
Cluster 0, d-water.net, 0.8299125397687312, -1
Cluster 0, i-elitech.cn, 0.829933963430134, 1
Cluster 0, sky200.com, 0.8302786972018577, 1
Cluster 0, dftcmedia.com, 0.8304978458442589, 1
Cluster 0, allseller.cn, 0.830602825591882, 1
Cluster 0, eoutech.net, 0.8308971968074603, 1
Cluster 0, ntp.org, 0.8309831511607246, -1
Cluster 0, ubinavi.com.cn, 0.8311707241140608, 1
Cluster 0, bjrszn.cn, 0.8321887351966601, 1
Cluster 0, midea-hotwater.com, 0.8323835733432311, 1
Cluster 0, xf-yun.com, 0.8325495494854234, 0
Cluster 0, supatent.cn, 0.8327223307362482, -1
Cluster 0, ksyun.com, 0.8327907773712966, -1
Cluster 0, p2cdn.com, 0.8329420581971274, -1
Cluster 0, tptri.cn, 0.8336876115168822, 1
Cluster 0, lierdae-hub.com, 0.8340382434911693, 1
Cluster 0, xfinfr.com, 0.834153916858336, -1
Cluster 0, conti-x.cn, 0.8342118535674281, -1
Cluster 0, ebeiben.com, 0.8343377229151583, -1
Cluster 0, shesi.org, 0.8346822096093682, -1
Cluster 0, ztems.com, 0.8348588666213491, -1
Cluster 0, 17carlife.com, 0.8348980850990827, -1
Cluster 0, weidaigps.com, 0.8350609939656561, -1
Cluster 0, yuweicloud.com, 0.835178419321792, -1
Cluster 0, szdatacenter.com, 0.8353364887264251, 0
Cluster 0, 9jodia.net, 0.8353956547935042, 1
